11:46:44 AM Monday, November 16, 2020  Reference Number: 000000000013, Amount Paid: 35 EGP, Transaction Result: FAILURE(-22)
4:34:44 PM Monday, November 16, 2020  Reference Number: 000000000014, Amount Paid: 30.6 EGP, Transaction Result: FAILURE(-22)
4:34:54 PM Monday, November 16, 2020  Reference Number: 000000000015, Amount Paid: 46.1 EGP, Transaction Result: FAILURE(-22)
4:34:58 PM Monday, November 16, 2020  Reference Number: 000000000016, Amount Paid: 51.4 EGP, Transaction Result: FAILURE(-22)
4:35:24 PM Monday, November 16, 2020  Reference Number: 000000000017, Amount Paid: 56.7 EGP, Transaction Result: FAILURE(-22)
4:35:29 PM Monday, November 16, 2020  Reference Number: 000000000018, Amount Paid: 66.9 EGP, Transaction Result: FAILURE(-22)
4:44:15 PM Monday, November 16, 2020  Reference Number: 000000000019, Amount Paid: 46.1 EGP, Transaction Result: FAILURE(-22)
10:13:29 AM Tuesday, November 17, 2020  Reference Number: 000000000020, Amount Paid: 35.9 EGP, Transaction Result: FAILURE(-22)
10:30:17 AM Tuesday, November 17, 2020  Reference Number: 000000000021, Amount Paid: 15.5 EGP, Transaction Result: FAILURE(-22)
12:07:43 PM Tuesday, November 17, 2020  Reference Number: 000000000022, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
12:09:41 PM Tuesday, November 17, 2020  Reference Number: 000000000023, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
12:10:05 PM Tuesday, November 17, 2020  Reference Number: 000000000024, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
12:11:13 PM Tuesday, November 17, 2020  Reference Number: 000000000025, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
12:11:45 PM Tuesday, November 17, 2020  Reference Number: 000000000026, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
12:12:00 PM Tuesday, November 17, 2020  Reference Number: 000000000027, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
12:12:44 PM Tuesday, November 17, 2020  Reference Number: 000000000028, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
12:13:25 PM Tuesday, November 17, 2020  Reference Number: 000000000029, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
12:13:35 PM Tuesday, November 17, 2020  Reference Number: 000000000030, Amount Paid: 40.8 EGP, Transaction Result: FAILURE(-22)
12:14:18 PM Tuesday, November 17, 2020  Reference Number: 000000000031, Amount Paid: 40.8 EGP, Transaction Result: FAILURE(-22)
12:17:29 PM Tuesday, November 17, 2020  Reference Number: 000000000032, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
12:19:24 PM Tuesday, November 17, 2020  Reference Number: 000000000033, Amount Paid: 40.8 EGP, Transaction Result: FAILURE(-22)
12:19:52 PM Tuesday, November 17, 2020  Reference Number: 000000000034, Amount Paid: 30.6 EGP, Transaction Result: FAILURE(-22)
12:21:07 PM Tuesday, November 17, 2020  Reference Number: 000000000035, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
12:24:08 PM Tuesday, November 17, 2020  Reference Number: 000000000036, Amount Paid: 10.2 EGP, Transaction Result: FAILURE(-22)
12:27:52 PM Tuesday, November 17, 2020  Reference Number: 000000000037, Amount Paid: 61.2 EGP, Transaction Result: FAILURE(-22)
12:28:56 PM Tuesday, November 17, 2020  Reference Number: 000000000038, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
12:29:32 PM Tuesday, November 17, 2020  Reference Number: 000000000039, Amount Paid: 30.6 EGP, Transaction Result: FAILURE(-22)
12:32:01 PM Tuesday, November 17, 2020  Reference Number: 000000000040, Amount Paid: 20.4 EGP, Transaction Result: FAILURE(-22)
